,media_id,title,cover,badge,origin,tags,pub_time,season_id,is_finish,index_show,brief,cv,staff
0,28226644,紫罗兰永恒花园外传：永远与自动手记人偶,http://i0.hdslb.com/bfs/bangumi/image/107eb93eff876dee16da4bf270b31c3e250e49d6.png,独家,其他,"剧情,动画",2020-01-10,31779,1,2020-01-10上映,某个大陆的、某个时代。大陆南北分割的战争结束了，世界走向了和平。在战争中作为军人的薇尔莉特•伊芙加登，怀抱着对她来说无比重要之人留下的“话语”，离开军队来到了大港口城市。踊跃的人群在排列着煤气灯的街道,"{'石川由依': '石川由依', '茅原实里': '茅原实里', '远藤绫': '远藤绫', '寿美菜子': '寿美菜子', '子安武人': '子安武人', '户松遥': '户松遥', '内山昂辉': '内山昂辉', '悠木碧': '悠木碧'}","{'导演': '藤田春香', '编剧': '晓佳奈'}"
1,8892,紫罗兰永恒花园,http://i0.hdslb.com/bfs/bangumi/b6e3986355efc081b7f4aaf9f576c9ce8116e193.jpg,独家,其他,"治愈,励志,职场,催泪",2018-01-11,21542,1,全14话,"某个大陆的、某个时代。
大陆南北分割的战争结束了，世界走向了和平。
在战争中作为军人的薇尔莉特•伊芙加登，怀抱着对她来说无比重要之人留下的“话语”，离开军队来到了大港口城市。
踊跃的人群在排列着煤气灯","{'薇尔莉特•伊芙加登': '石川由依', '克劳迪亚·霍金斯': ' 子安武人', '基尔伯特·布甘比利亚': ' 浪川大輔', '嘉德丽雅·波德莱尔': ' 遠藤綾', '贝内迪克特·布卢': ' 内山昂輝', '埃丽卡·布朗': ' 茅原実里', '艾丽斯·卡纳利': ' 戸松遥'}","{'原作': '暁佳奈(KAエスマ文庫)', '监督': '石立太一', '系列构成': '吉田玲子', '角色设计 \\u002F 总作画监督': '高瀬亜貴子', '系列演出': '藤田春香', '世界观设定': '鈴木貴昭', '美术监督': '渡邊美希子', '色彩设计': '米田侑加', '摄影监督': '船本孝平', '3D监督': '山本倫', '小道具设定': '高橋博行、太田稔', '编集': '重村建吾', '音响监督': '鶴岡陽太', '音响制作': '楽音舎', '音乐': 'Evan Call', '音乐制作': 'ランティス（Lantis）、ミラクル・バス（Miracle Bus）', '动画制作': '京都アニメーション（京都动画）', '制作协力': 'アニメーションDo（Animation Do）'}"
2,28228386,我的青春恋爱物语果然有问题。完,http://i0.hdslb.com/bfs/bangumi/image/82d628408f5472f1440982e880b0b4f0146862ad.png,会员专享,其他,"校园,恋爱",2020-07-10,32998,1,全12话,"因过去的心理阴影而以独特的别扭思考回路讴歌着“独自生活”的比企谷八幡，偶然地在负责生活指导的教师·平冢静的强迫下加入了“侍奉部”。
八幡和同社团所属的令人窒息的完美美少女·雪之下雪乃，以及班级上位阶级","{'比企谷八幡': '江口拓也', '雪之下雪乃': '早见沙织', '由比滨结衣': '东山奈央', '一色伊吕波': '佐仓绫音', '比企谷小町': '悠木碧', '户冢彩加': '小松未可子', '叶山隼人': '近藤隆', '材木坐义辉': '桧山修之', '平冢静': '柚木凉香', '雪之下阳乃': '中原麻衣', '三浦优美子': '井上麻里奈', '海老名姬菜': '佐佐木望', '川崎沙希': '小清水亚美', '户部翔': '堀井茶渡'}","{'原作': '渡航（小学馆《GAGAGA文库》）', '角色原案': 'PONKAN⑧', '监督': '及川启', '总编剧': '大知庆一郎', '角色设计': '田中雄一', '美术监督': '池田繁美 \\u002F 丸山由纪子', '美术背景': 'Atelier Musa', '色彩设计': '岩井田洋', '摄影监督': '中村雄太', '剪辑': '平木大辅', '音响监督': '本山哲', '音响制作': 'Delfi Sound', '音乐': '石滨翔（MONACA） \\u002F 高桥邦幸（MONACA）', '音乐制作': 'NBC Universal Entertainment、Marvelous', '动画制作': 'feel.'}"
3,28226008,Re：从零开始的异世界生活 Memory Snow(雪之回忆),http://i0.hdslb.com/bfs/bangumi/image/137c9c239aed5d7666f35ab1d28528547d05544f.png,会员专享,小说改,"穿越,奇幻,日常",2019-06-07,31150,1,全1话,昴等人打倒了诅咒的元凶——魔兽沃尔加姆，拯救了阿拉姆村的孩子们。终于到来的安稳并未持续很久，昴就瞒着所有人前去挑战某个极秘任务。尽管昴做了变装，但很快就被以佩特拉为首的村里的孩子们识破了真实身份。开始,"{'菜月昴': '小林裕介', '爱蜜莉雅': '高桥李依', '帕克': '内山夕实', '雷姆': '水濑祈', '拉姆': '村川梨衣', '碧翠丝': '新井里美', '罗兹瓦尔·L·梅札斯': '子安武人'}","{'原作': '从零开始的异世界生活》\\u002FKADOKAWA刊）', '角色原案': '大冢真一郎', '监督': '渡边政治', '系列构成': '横谷昌宏', '角色设计、总作画监督': '坂井久太', '道具设定': '铃木典孝、岩畑刚一', '美术设定': '金城沙绫（美峰）', '色彩设计': '坂本いづみ', '摄影监督': '峰岸健太郎（T2studio）', '3D监督': '轻部优（T2studio）', '编集': '须藤瞳（REAL-T）', '音响监督': '明田川仁', '音响効果': '古谷友二（スワラ・プロ）', '音乐': '末广健一郎', '音乐制作': 'KADOKAWA', '动画制作': 'WHITE FOX'}"
4,28224394,Re：从零开始的异世界生活 新编集版,http://i0.hdslb.com/bfs/bangumi/image/3c125e1aad08643e3eff2fb7d45e740c1a052725.png,会员专享,其他,"穿越,奇幻,魔法,架空",2020-01-01,29590,1,全13话,在从便利商店回家的路上，突然被异世界召唤的少年菜月昴。在无法依靠任何东西的异世界，无力的少年手唯一的力量……那是“死去然后重新开始”的力量。为了守护最重要的人们，为了取回确实存在着又无可替代的时间，少,"{'菜月昴': '小林裕介', '爱蜜莉雅': '高桥李依', '帕克': '内山夕实', '菲鲁特': '赤崎千夏', '雷姆': '水濑祈', '拉姆': '村川梨衣', '碧翠丝': '新井里美', '莱因哈鲁特': '中村悠一'}","{'原作': '从零开始的异世界生活》\\u002FKADOKAWA刊）', '角色原案': '大冢真一郎', '监督': '渡边政治', '系列构成': '横谷昌宏', '角色设计 \\u002F 总作画监督': '坂井久太', '道具设定': '铃木典孝 \\u002F 岩畑刚一', '美术设定': '金城沙绫（美峰）', '色彩设计': '坂本いづみ', '摄影监督': '峰岸健太郎（T2studio）', '3D监督': '轻部优（T2studio）', '编集': '须藤瞳（REAL-T）', '音响监督': '明田川仁', '音响効果': '古谷友二（スワラ・プロ）', '音乐': '末广健一郎', '音乐制作': 'KADOKAWA', '动画制作': 'WHITE FOX'}"
5,28222723,刀剑神域 爱丽丝篇 异界战争,http://i0.hdslb.com/bfs/bangumi/327056a886f2c7cba6175a80eed2f78098cec5b1.png,会员专享,小说改,"穿越,科幻,架空",2019-10-06,28615,1,全13话,"桐人、尤吉欧、爱丽丝。距离两名修剑士和一名整合骑士打败了最高祭司阿多米尼斯多雷特已过去了半年。
结束了战斗，爱丽丝在故乡卢利特村生活。在她的身旁，是失去了挚友，自己也失去了手臂和心的桐人。
献身般支撑","{'桐人（桐谷和人）': '松冈祯丞', '亚丝娜（结城明日奈）': '户松遥', '爱丽丝': '茅野爱衣'}","{'导演': '小野学', '音乐': '梶浦由記', '人物原案': 'abec(BUNBUN)', '人物设定': '足立慎吾 \\u002F 鈴木豪 \\u002F 西口智也 \\u002F 山本由美子 \\u002F 戸谷賢都', '美术监督': '小川友佳子 \\u002F 渡辺佳人', '色彩设计': '中野尚美', '总作画监督': '鈴木豪 \\u002F 戸谷賢都', '摄影监督': '脇顯太朗 \\u002F 林賢太', '道具设计': '早川麻美 \\u002F 伊藤公規', '剪辑': '近藤勇二', '音响监督': '岩浪美和', '音效': '小山恭正', '制作': 'ストレートエッジ \\u002F EGG FIRM', '动画制作': 'A-1 Pictures'}"
6,3450,在下坂本，有何贵干？,http://i0.hdslb.com/bfs/bangumi/14ba6643f22405e2777cca992002cc6411601334.jpg,独家,其他,"搞笑,校园,日常",2016-04-08,3450,1,全13话,于日本县立学文高中之中，有一名叫坂本的全能高中生，平常总是用著各种超乎常理的无厘头行为来完成各种琐事，导致周遭所有女性同学都对他钦佩绝倒，同时也引起所有男性同学的无限嫉妒。但不管面对其他人如何刁难，坂,"{'坂本': '绿川光', '濑良裕也': '森久保祥太郎', '久保田吉伸': '石田彰', '黑沼爱菜': '堀江由衣', '8823': '游佐浩二', '久保田茂美': '鲸（松本和香子）', '藤田惠': '中原麻衣', '深濑': '岩田光央', 'Kenken': '桧山修之', 'Mario..': 'Mario..'}","{'原作': '佐野菜见', '监督': '高松信司', '角色设计': '中岛敦子', '撮影监督': '酒井淳子', '色彩设计': '佐野ひとみ', '美术监督': '武藤正敏', '编集': '松原理恵', '音乐': '福田裕彦', '音乐制作': 'King Records', '音响制作': 'DAX Production', '动画制作': 'Studio DEEN'}"
7,28224095,某科学的超电磁炮T,http://i0.hdslb.com/bfs/bangumi/image/85c6e348a00a54d0b86d538efb186e006a027e21.png,独家,漫画改,"战斗,科幻,校园",2020-01-11,29325,1,全25话,有 230 万人口，其中八成人口为学生的「学园都市」，是比其他地区科技更为先进，并从事「超能力开发」的特殊地区。而整座学园都市中仅有七人的等级 5 超能力者之一御坂美琴，由于她的能力与个性使然，因而被,"{'御坂美琴': '佐藤利奈', '佐天泪子': '伊藤加奈惠', '初春饰利': '丰崎爱生', '白井黑子': '新井里美', '食蜂操祈': '浅仓杏美'}","{'原作': '镰池和马 \\u002F 冬川基', '角色原案': 'はいむらきよたか', '监督': '长井龙雪', '系列构成': 'ヤスカワショウゴ', '动画角色设计': '田中雄一', '美术监督': '泉健太郎', '色彩设计': '安藤智美', '摄影监督': '福世晋吾', '剪辑': '西山茂（REAL-T）', '音响监督': '明田川仁', '音乐': '井内舞子', '动画制作': 'J.C.STAFF'}"
8,28226009,Re：从零开始的异世界生活 冰结之绊,http://i0.hdslb.com/bfs/bangumi/image/05859fac3ad9be31373e2d2b548a2f14fd472de2.png,会员专享,小说改,"奇幻,战斗",2019-11-08,31151,1,全1话,如果是为了你的话，我可以成为任何东西——。,"{'艾米莉娅': '高桥李依', '帕克': '内山夕实'}","{'原作': '从零开始的异世界生活》\\u002FKADOKAWA刊）', '角色原案': '大冢真一郎', '监督': '渡边政治', '系列构成': '横谷昌宏', '角色设计、总作画监督': '坂井久太', '道具设定': '铃木典孝、岩畑刚一', '美术设定': '金城沙绫（美峰）', '色彩设计': '坂本いづみ', '摄影监督': '峰岸健太郎（T2studio）', '3D监督': '轻部优（T2studio）', '编集': '须藤瞳（REAL-T）', '音响监督': '明田川仁', '音响効果': '古谷友二（スワラ・プロ）', '音乐': '末广健一郎', '音乐制作': 'KADOKAWA', '动画制作': 'WHITE FOX'}"
9,3398,冰菓,http://i0.hdslb.com/bfs/bangumi/074056b8543ed2ceb53dc13a79da1eafa3fa921a.jpg,独家,其他,"恋爱,推理,校园,日常",2012-04-22,3398,1,全22话,在众多将要展开「玫瑰色」生活的高中生之中，本作的男主角折木奉太郎却是一个「灰色」的节能主义者。凡是没必要的事就不做，因为不想后悔，被人说是疏离、厌世也无所谓，因为这就是他的作风。这样的折木奉太郎，却因,"{'折木奉太郎': '中村悠一', '千反田爱瑠': '佐藤聪美', '福部里志': '阪口大助', '伊原摩耶花': '茅野爱衣', '折木供惠': '雪野五月', '远垣内将司': '置鲇龙太郎', '入须冬实': '由加奈', '糸鱼川养子': '小山茉美', '十文字嘉保': '早见沙织'}","{'原作 \\u002F 构成协力': '米澤穂信「古典部シリーズ」(角川文庫)', '监督': '武本康弘', '系列构成': '賀東招二', '角色原案 \\u002F 角色设计 \\u002F 总作画监督': '西屋太志', '色彩设计': '石田奈央美', '美术监督': '奥出修平', '摄影监督': '中上竜太', '设定': '唐田洋', '编集': '重村建吾(楽音舎)', '音响监督': '鶴岡陽太', '音乐': '田中公平', '音乐制作': 'ランティス（Lantis）', '动画制作': '京都アニメーション（京都动画）', '制作协力': 'アニメーションDo（Animation Do）'}"
